,Job_title,Total,Education_level
0,Data Administrator,47,High
1,Data Officer,44,High
2,Computer or Data Processing Systems Consultant,43,High
3,Data Storage Specialist,41,Medium
4,Geographic Information Systems Data Specialist (GIS Data Specialist),38,Medium
5,Data Officer,37,Medium
6,Data Processing Systems Analyst,18,Low
7,Data Communications Software Consultant,17,Low
8,Automatic Data Processing Systems Security Specialist (ADP Systems Security),16,Low
9,Data Scientist,8,No
10,Automatic Data Processing Planner,7,No
11,Data Warehouse Architect,7,No
